After iteration 0:
Gaussian 1: mean = 4877.2217, variance = 8099907.8597, prior = 0.1121
Gaussian 2: mean = 4527.4639, variance = 7851378.8014, prior = 0.1112
Gaussian 3: mean = 5315.4730, variance = 8070713.0634, prior = 0.1110
Gaussian 4: mean = 4658.4798, variance = 7971800.3612, prior = 0.1111
Gaussian 5: mean = 5250.4709, variance = 8098934.0878, prior = 0.1112
Gaussian 6: mean = 4836.1315, variance = 8082681.7902, prior = 0.1110
Gaussian 7: mean = 4937.5785, variance = 8118691.9778, prior = 0.1111
Gaussian 8: mean = 5137.8038, variance = 8127752.7137, prior = 0.1103
Gaussian 9: mean = 5004.1532, variance = 8130791.6864, prior = 0.1111

After iteration 10:
Gaussian 1: mean = 4878.0504, variance = 8100110.6171, prior = 0.1121
Gaussian 2: mean = 4521.4017, variance = 7844910.1491, prior = 0.1112
Gaussian 3: mean = 5317.3637, variance = 8069545.2942, prior = 0.1110
Gaussian 4: mean = 4656.4698, variance = 7970237.4507, prior = 0.1111
Gaussian 5: mean = 5251.9174, variance = 8098334.4184, prior = 0.1112
Gaussian 6: mean = 4836.7023, variance = 8083047.6622, prior = 0.1110
Gaussian 7: mean = 4938.6209, variance = 8118798.6973, prior = 0.1111
Gaussian 8: mean = 5138.9628, variance = 8127958.5702, prior = 0.1103
Gaussian 9: mean = 5005.2797, variance = 8130832.8041, prior = 0.1111

After iteration 11:
Gaussian 1: mean = 4878.9103, variance = 8100369.2598, prior = 0.1121
Gaussian 2: mean = 4515.1209, variance = 7838185.7937, prior = 0.1112
Gaussian 3: mean = 5319.3031, variance = 8068459.7982, prior = 0.1110
Gaussian 4: mean = 4654.4429, variance = 7968612.7508, prior = 0.1111
Gaussian 5: mean = 5253.3998, variance = 8097737.9178, prior = 0.1112
Gaussian 6: mean = 4837.3077, variance = 8083350.1352, prior = 0.1110
Gaussian 7: mean = 4939.6928, variance = 8118985.6997, prior = 0.1110
Gaussian 8: mean = 5140.1489, variance = 8127921.5894, prior = 0.1103
Gaussian 9: mean = 5006.4347, variance = 8130913.2423, prior = 0.1111

After iteration 12:
Gaussian 1: mean = 4879.8038, variance = 8100656.7496, prior = 0.1121
Gaussian 2: mean = 4508.6106, variance = 7831158.7189, prior = 0.1112
Gaussian 3: mean = 5321.2916, variance = 8067388.2448, prior = 0.1110
Gaussian 4: mean = 4652.3988, variance = 7966948.3369, prior = 0.1111
Gaussian 5: mean = 5254.9197, variance = 8097130.5621, prior = 0.1112
Gaussian 6: mean = 4837.9482, variance = 8083634.1258, prior = 0.1110
Gaussian 7: mean = 4940.7965, variance = 8119208.4349, prior = 0.1110
Gaussian 8: mean = 5141.3650, variance = 8127778.3834, prior = 0.1103
Gaussian 9: mean = 5007.6202, variance = 8131009.4805, prior = 0.1111

After iteration 13:
Gaussian 1: mean = 4880.7331, variance = 8100962.0576, prior = 0.1121
Gaussian 2: mean = 4501.8578, variance = 7823794.9319, prior = 0.1112
Gaussian 3: mean = 5323.3307, variance = 8066301.1593, prior = 0.1110
Gaussian 4: mean = 4650.3376, variance = 7965253.5605, prior = 0.1111
Gaussian 5: mean = 5256.4791, variance = 8096505.7787, prior = 0.1112
Gaussian 6: mean = 4838.6252, variance = 8083918.6328, prior = 0.1110
